Name,Type,QueryOptimization,LowerRelAlgDialect,LowerSubOpDialect,LowerDBDialect,LowerDSADialect,LowerToLLVMDialect,ToLLVMIR,LlvmOptimize,LlvmCodeGen,ExecutionTime,TotalTime,Heap,Stack,TotalMemory,DuckDBTime,DuckDBMemory,Size,correctResult,lingoDBResult
Einstein,float,4.073,1.088,16.192,5.695,7.777,15.847,1.27,5.263,29.915,0.126,87.246,4833424,0,4833424,28.927,3006552,130,[ 396.46304107 -378.12886184],[ 396.46304107 -378.12886184]
Einstein,tfloat,2.417,0.674,10.843,4.039,5.461,12.37,1.064,4.554,31.232,0.152,72.806,4842800,0,4842800,28.927,3006552,130,[ 396.46304107 -378.12886184],[ 400. -378.]
Einstein,float,3.786,0.996,16.205,5.43,7.816,16.027,1.201,4.982,30.906,0.501,87.85,4834096,0,4834096,29.619,3032904,10300,[ 23371.01308673 -25430.33391357],[ 23371.01308673 -25430.33391357]
Einstein,tfloat,4.158,1.114,18.099,6.312,8.514,23.54,2.424,9.439,47.924,1.684,123.208,4836384,0,4836384,29.619,3032904,10300,[ 23371.01308673 -25430.33391357],[ 26368. -27520.]
Einstein,float,1.536,0.427,7.974,3.431,4.696,9.977,0.856,3.558,21.899,1.806,56.16,4835504,0,4835504,30.136,3033560,40600,[-50459.12454416 -32058.12793735],[-50459.12454416 -32058.12793735]
Einstein,tfloat,2.078,0.56,9.438,3.663,5.449,12.372,1.061,4.591,31.031,5.008,75.251,4837416,0,4837416,30.136,3033560,40600,[-50459.12454416 -32058.12793735],[-45056. -32768.]
Einstein,float,1.527,0.423,6.352,2.38,3.556,8.86,0.799,3.294,20.595,2.65,50.436,4837048,0,4837048,24.775,3580528,161200,[-65093.30641166  66619.46367424],[-65093.30641166  66619.46367424]
Einstein,tfloat,4.897,1.299,13.096,5.961,8.155,16.215,1.295,5.151,30.08,6.371,92.52,4841256,0,4841256,24.775,3580528,161200,[-65093.30641166  66619.46367424],[-64768.  74752.]
Einstein,float,1.604,0.416,6.723,2.54,3.665,8.893,0.76,3.294,21.643,2.544,52.082,4841848,0,4841848,29.815,4094032,361800,[  9830.81584993 -31759.14772771],[  9830.81584993 -31759.14772771]
Einstein,tfloat,1.519,0.42,6.61,2.458,3.676,8.872,0.768,3.308,21.959,9.229,58.819,4845528,0,4845528,29.815,4094032,361800,[  9830.81584993 -31759.14772771],[-17024. -33536.]
Einstein,float,4.714,1.1,22.591,8.361,10.884,20.072,1.523,6.157,35.576,4.26,115.238,4851664,0,4851664,29.115,5680392,642400,[-177319.70541245   90480.0364096 ],[-177319.70541245   90480.0364096 ]
Einstein,tfloat,1.548,0.438,6.686,2.545,3.616,8.989,0.788,3.29,22.21,11.548,61.658,4858352,0,4858352,29.115,5680392,642400,[-177319.70541245   90480.0364096 ],[-154624.   89088.]
Einstein,float,3.513,0.931,13.846,5.66,10.744,23.1,1.546,6.824,37.736,5.926,109.826,4872720,0,4872720,29.468,7259456,1003000,[  91034.61865076 -121643.47894595],[  91034.61865076 -121643.47894594]
Einstein,tfloat,1.793,0.499,7.884,2.762,4.116,8.874,0.753,3.293,21.411,20.817,72.202,4875504,0,4875504,29.468,7259456,1003000,[  91034.61865076 -121643.47894595],[104448. -24704.]
Einstein,float,3.928,1.06,11.548,4.222,5.818,12.636,1.055,4.504,30.367,30.129,105.267,5077768,0,5077768,29.549,16650400,6257500,[646713.16627016 251250.94768073],[646713.16627015 251250.94768073]
Einstein,tfloat,1.563,0.413,12.714,4.534,6.211,12.908,1.069,4.107,25.61,69.897,139.026,5085752,0,5085752,29.549,16650400,6257500,[646713.16627016 251250.94768073],[520192.  16128.]
Einstein,float,3.941,0.955,6.768,2.508,3.715,8.87,0.774,3.304,21.898,83.078,135.811,5803984,0,5803984,30.727999999999998,23054608,25015000,[-456808.08106551 1397220.40938835],[-456808.08106558 1397220.40938835]
Einstein,tfloat,4.335,1.109,6.64,2.477,3.748,9.049,0.773,3.308,22.43,185.985,239.854,5808168,0,5808168,30.727999999999998,23054608,25015000,[-456808.08106551 1397220.40938835],[179200. 479232.]
