Name,Type,Size,QueryOptimization,LowerRelAlgDialect,LowerSubOpDialect,LowerDBDialect,LowerDSADialect,LowerToLLVMDialect,ToLLVMIR,LlvmOptimize,LlvmCodeGen,ExecutionTime,TotalTime,Heap,Stack,TotalMemory
KMeans,float,10,312.886,159.714,105.751,54.446,64.645,147.92,9.639,45.035,322.187,9.064,1231.29,15091024,8640,15099664
KMeans,tfloat,10,309.962,158.439,106.322,55.675,65.566,150.132,9.791,45.461,381.646,12.085,1295.08,13002976,8672,13011648
KMeans,float,100,306.572,160.653,106.171,54.999,64.34,149.765,9.687,45.339,327.944,26.074,1251.54,19124920,8640,19133560
KMeans,tfloat,100,282.704,159.296,106.613,55.719,65.598,150.966,9.826,45.57,381.868,54.609,1312.77,15832792,7824,15840616
KMeans,float,1000,274.13,158.601,106.378,55.129,64.73,150.371,9.638,45.39,326.542,131.197,1322.11,20461608,7792,20469400
KMeans,tfloat,1000,303.743,159.198,106.517,55.91,65.701,149.946,9.838,45.494,382.337,325.107,1603.79,17201360,8672,17210032
KMeans,float,10000,240.827,99.173,68.159,35.094,40.68,98.621,6.265,28.48,207.415,744.808,1569.52,72849448,8640,72858088
KMeans,tfloat,10000,173.455,101.299,67.361,35.106,41.074,95.769,6.134,28.221,238.553,1962.42,2749.39,56068496,8672,56077168
KMeans,float,100000,276.374,159.399,105.635,54.27,63.775,148.398,9.629,44.734,304.368,6150.13,7316.71,491856464,9488,491865952
KMeans,tfloat,100000,300.485,135.876,67.509,35.473,40.924,98.224,6.299,28.525,241.82,16280,17235.2,360662568,18848,360681416
