Name,Type,QueryOptimization,LowerRelAlgDialect,LowerSubOpDialect,LowerDBDialect,LowerDSADialect,LowerToLLVMDialect,ToLLVMIR,LlvmOptimize,LlvmCodeGen,ExecutionTime,TotalTime,Heap,Stack,TotalMemory,DuckDBTime,DuckDBMemory,Size,correctResult,lingoDBResult
Regression,float,35.303,16.566,91.87,27.379,27.381,66.759,4.175,19.57,140.044,3.838,432.885,9415608,0,9415608,29.182,3185960,10,2.0498 * x  -7.5611,1.1901895250660117 * x + 0.6210631756722237
Regression,tfloat,40.677,11.019,79.18,36.566,41.506,98.929,6.341,30.53,219.617,2.197,566.562,9447832,0,9447832,29.182,3185960,10,2.0498 * x  -7.5611,1.1915562012764311 * x + 0.6211875778014874
Regression,float,34.384,9.253,73.048,60.279,44.233,69.044,4.152,19.501,141.127,3.951,458.972,9419456,0,9419456,29.226,3792944,100,-6.2911 * x  -2.3976,-6.6926428470821735 * x + 0.9558325844192507
Regression,tfloat,38.353,9.465,66.403,25.303,28.679,68.847,4.28,20.45,151.217,4.06,417.057,9454048,0,9454048,29.226,3792944,100,-6.2911 * x  -2.3976,-6.6942847337670015 * x + 0.955743010952485
Regression,float,46.889,12.165,80.973,34.664,40.422,96.761,6.055,29.574,210.912,6.251,564.666,9422160,0,9422160,27.727999999999998,3757328,1000,36.3808 * x + 78.4496,36.21220241010586 * x + 1.0828464934439692
Regression,tfloat,30.861,8.123,72.98,36.927,42.232,129.829,6.47,30.711,224.795,6.739,589.667,9436584,0,9436584,27.727999999999998,3757328,1000,36.3808 * x + 78.4496,36.214272299568606 * x + 1.082985896121114
Regression,float,48.185,13.176,82.247,34.91,40.635,98.046,6.174,29.504,212.36,19.697,584.934,31841824,0,31841824,28.694999999999997,3266528,10000,-112.7713 * x  -15.7874,-1.571462914830962e+24 * x + 1.801837457756249e+20
Regression,tfloat,37.679,15.51,90.435,65.361,45.152,97.854,6.179,29.666,218.559,21.246,627.641,23413200,0,23413200,28.694999999999997,3266528,10000,-112.7713 * x  -15.7874,-1.5718163859937712e+24 * x + 1.8060340270970005e+20
Regression,float,28.451,7.97,99.801,29.326,27.962,67.582,4.316,20.002,143.174,193.939,622.523,224463288,0,224463288,28.25,3261968,100000,-36.8842 * x + 104.3989,-2.902348641117443e+25 * x + 1.087583546010399e+20
Regression,tfloat,40.895,9.963,74.573,35.687,41.171,97.556,6.181,29.818,218.088,179.762,733.694,151741592,0,151741592,28.25,3261968,100000,-36.8842 * x + 104.3989,-2.902282774008049e+25 * x + 1.0866617137129143e+20
Regression,float,21.619,6.213,113.152,42.109,33.811,66.821,4.28,20.101,142.766,680.624,1131.5,2959323008,0,2959323008,29.211000000000002,5467592,1000000,-38.5556 * x  -212.4151,-3.0961745079740897e+25 * x + 7.481255056756454e+19
Regression,tfloat,35.139,9.111,62.976,23.836,27.277,66.322,4.196,19.481,142.581,774.028,1164.95,1973818472,0,1973818472,16.275000000000002,5451688,1000000,151.8566 * x + 69.2166,1.1776283037572247e+26 * x + 9.642648848223445e+19
Regression,float,14.15,4.713,47.052,23.658,27.526,66.939,4.17,19.703,143.51,1401.73,1753.15,6583307664,0,6583307664,11.736,10171528,2500000,141.4591 * x + 34.7428,1.0901187501732e+26 * x  -2.8250708146280042e+20
Regression,tfloat,23.833,6.541,101.226,29.534,28.094,66.508,4.467,19.743,145.206,1861.14,2286.29,4385644024,0,4385644024,11.736,10171528,2500000,141.4591 * x + 34.7428,1.090159721715477e+26 * x  -2.830082869712427e+20
Regression,float,13.66,4.47,46.075,23.042,26.677,66.807,4.176,19.421,139.281,3162.05,3505.66,13160117472,0,13160117472,11.948,17519656,5000000,-237.7686 * x  -166.8523,-1.8615372442727892e+26 * x + 3.2007615657340325e+20
Regression,tfloat,16.325,4.776,46.912,24.019,26.904,66.236,4.184,19.371,143.607,3388.18,3740.51,8764523168,0,8764523168,11.948,17519656,5000000,-237.7686 * x  -166.8523,-1.861566407044691e+26 * x + 3.192819403110625e+20
