Name,Type,Size,QueryOptimization,LowerRelAlgDialect,LowerSubOpDialect,LowerDBDialect,LowerDSADialect,LowerToLLVMDialect,ToLLVMIR,LlvmOptimize,LlvmCodeGen,ExecutionTime,TotalTime,Heap,Stack,TotalMemory
KMeans,float,10,317.243,158.408,106.63,54.646,64.227,147.112,9.722,44.857,323.141,7.691,1233.68,14051680,8640,14060320
KMeans,tfloat,10,283.051,159.01,105.649,55.074,64.58,149.203,9.643,44.945,377.548,9.857,1258.56,12715960,7992,12723952
KMeans,float,100,271.068,159.661,106.418,55.116,64.332,148.563,9.772,45.459,326.332,26.597,1213.32,18959040,8640,18967680
KMeans,tfloat,100,320.903,160.012,106.317,55.486,64.776,149.672,9.881,45.338,381.311,43.76,1337.46,15804928,8672,15813600
KMeans,float,1000,303.776,159.383,106.145,54.803,64.45,149.749,9.944,45.267,326.873,106.411,1326.8,20428584,7792,20436376
KMeans,tfloat,1000,316.933,162.152,106.569,56.007,65.041,149.773,9.754,45.436,381.343,330.212,1623.22,17230040,7824,17237864
KMeans,float,10000,276.748,194.031,105.567,54.391,63.915,147.524,9.768,46.289,323.2,758.447,1979.88,72888376,7792,72896168
KMeans,tfloat,10000,306.792,159.792,106.107,55.603,65.309,149.031,9.76,45.675,381.996,2111.52,3391.58,55979632,8672,55988304
KMeans,float,100000,315.518,159.098,106.121,54.885,64.367,149.648,9.855,45.436,326.837,6817.85,8049.61,494303432,9488,494312920
KMeans,tfloat,100000,206.463,100.456,66.564,34.875,40.84,96.175,6.134,28.316,238.126,15163.6,15981.5,356539112,9488,356548600
