Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float8,standard,1,100,100,10,0.170589,0.0428515625,0.1784765625,1.3173814904902171e-14,0.0,1.735493991486226e-29,0.0,110.6896673905652,110.68966739056519
float8,standard,2,100,100,10,0.179068,0.042763671875,0.17736328125,-1,-1,-1,-1,110.6896673905652,-1
float8,standard,3,100,100,10,0.172578,0.042802734375,0.178544921875,2.3587337626789138,0.0,0.5563624963201426,0.0,23.799648374097114,25.72536931930816
float8,standard,4,100,100,10,0.215735,0.0429296875,0.17779296875,6.879800455918813e-15,0.0,4.733165431326071e-30,0.0,110.68966739056519,110.68966739056519
float4,standard,1,100,100,10,0.219571,0.042861328125,0.176796875,5.600655938171701e-06,1.648108565958805e-06,3.1367346937777935e-12,2.716261845186789e-13,129.6581765,129.65817
float4,standard,2,100,100,10,0.188624,0.0427734375,0.17634765625,-1,-1,-1,-1,129.658174004635,-1
float4,standard,3,100,100,10,0.197315,0.042802734375,0.17619140625,1.5988878349044802,2.953820845334979e-07,0.25564423086055366,8.725057586335452e-15,26.1269289,26.37069
float4,standard,4,100,100,10,0.208155,0.043046875,0.176650390625,1.2477091356293518e-06,1.648108565958805e-06,1.556778087132944e-13,2.716261845186789e-13,129.6581735,129.65817
bfloat,standard,1,100,100,10,0.197057,0.042861328125,0.17798828125,0.5780886974998969,0.0646073420740769,0.03341865421771273,0.0004174108649876786,109.3125,111
bfloat,standard,2,100,100,10,0.151905,0.0427734375,0.177080078125,-1,-1,-1,-1,110.64157225880001,-1
bfloat,standard,3,100,100,10,0.198192,0.042802734375,0.17828125,2.3735489478658462,0.014442618149116494,0.5633734607915065,2.0858921900118913e-05,23.78127,25.875
bfloat,standard,4,100,100,10,0.207445,0.0429296875,0.178603515625,0.11192307513771937,0.0646073420740769,0.0012526774748283576,0.0004174108649876786,110.75,111
float8,standard,1,400,400,20,0.252433,0.04287109375,0.177939453125,1.408596091437105e-13,0.0,9.920714744059444e-28,0.0,1082.968379705699,1082.968379705699
float8,standard,2,400,400,20,0.220585,0.0427734375,0.177841796875,-1,-1,-1,-1,1082.968379705699,-1
float8,standard,3,400,400,20,0.166259,0.042802734375,0.177197265625,5.881343812589863,0.0,1.7295102520944532,0.0,106.45155568774092,112.02379675601871
float8,standard,4,400,400,20,0.215742,0.043388671875,0.179677734375,5.2214014291603906e-14,0.0,1.3631516442219085e-28,0.0,1082.968379705699,1082.968379705699
float4,standard,1,400,400,20,0.191253,0.0428515625,0.17767578125,8.512129890002225e-05,1.108589690497573e-05,3.6228177632134644e-10,6.144855509387523e-12,1105.67899,1105.6788
float4,standard,2,400,400,20,0.220003,0.042783203125,0.17634765625,-1,-1,-1,-1,1105.6788474661794,-1
float4,standard,3,400,400,20,0.211206,0.04279296875,0.1770703125,4.535677925093007,1.0275196817963753e-06,1.0286187120088004,5.2789834823946226e-14,107.8363969,106.75597
