Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float8,standard,1,100,100,10,0.010591,0.00251953125,0.030986328125,1.507288760336424e-14,0.0,2.271919407036514e-29,0.0,110.68966739056522,110.68966739056519
float8,standard,2,100,100,10,0.00918,0.002529296875,0.03185546875,-1,-1,-1,-1,110.6896673905652,-1
float8,standard,3,100,100,10,0.010268,0.002451171875,0.030478515625,2.3587337626789138,0.0,0.5563624963201426,0.0,23.799648374097114,25.72536931930816
float8,standard,4,100,100,10,0.011282,0.00255859375,0.03205078125,6.879800455918813e-15,0.0,4.733165431326071e-30,0.0,110.68966739056519,110.68966739056519
float4,standard,1,100,100,10,0.007537,0.002490234375,0.031552734375,6.760151734133174e-06,1.0787979898177052e-06,4.569965146850375e-12,1.1638051028347218e-13,110.6896635,110.68967
float4,standard,2,100,100,10,0.01362,0.0025,0.031611328125,-1,-1,-1,-1,110.68966795499,-1
float4,standard,3,100,100,10,0.007031,0.002451171875,0.031455078125,2.358733779042886,3.088775451062963e-07,0.5563625040397934,9.54053378708921e-15,23.7996491,25.72537
float4,standard,4,100,100,10,0.007387,0.00255859375,0.0318359375,3.376446077538021e-06,1.0787979898177052e-06,1.1400388114521887e-12,1.1638051028347218e-13,110.68967249999999,110.68967
float8,standard,1,400,400,20,0.018015,0.003212890625,0.0326953125,1.3923737144427707e-13,0.0,9.693522803355793e-28,0.0,1082.968379705699,1082.968379705699
float8,standard,2,400,400,20,0.031188,0.00412109375,0.032255859375,-1,-1,-1,-1,1082.968379705699,-1
float8,standard,3,400,400,20,0.009513,0.00251953125,0.030361328125,5.881343812589863,0.0,1.7295102520944532,0.0,106.45155568774092,112.02379675601871
float8,standard,4,400,400,20,0.011408,0.00263671875,0.031181640625,5.2214014291603906e-14,0.0,1.3631516442219085e-28,0.0,1082.968379705699,1082.968379705699
float4,standard,1,400,400,20,0.018976,0.002958984375,0.031669921875,6.196422658757369e-05,1.056468181072596e-05,1.919782688298087e-10,5.580625088094198e-12,1082.9683690000002,1082.9684
float4,standard,2,400,400,20,0.038449,0.0038671875,0.03181640625,-1,-1,-1,-1,1082.968388533417,-1
float4,standard,3,400,400,20,0.010744,0.00251953125,0.031962890625,5.881343345730243,9.958838215653578e-07,1.7295099775182703,4.958922930278108e-14,106.45155299999999,112.023796
float4,standard,4,400,400,20,0.011379,0.00263671875,0.031298828125,1.3843632693660652e-05,1.056468181072596e-05,9.582308307849505e-12,5.580625088094198e-12,1082.968361,1082.9684
float8,standard,1,900,900,30,0.036237,0.005390625,0.0338671875,2.751920182367525e-13,0.0,2.5243548967072378e-27,0.0,3162.249574976405,3162.2495749764043
float8,standard,2,900,900,30,0.111288,0.00732421875,0.0346875,-1,-1,-1,-1,3162.2495749764053,-1
float8,standard,3,900,900,30,0.010443,0.002568359375,0.03162109375,7.114600526996072,0.0,1.6872513552910928,0.0,216.96301532683748,221.41578138082605
float8,standard,4,900,900,30,0.010552,0.002685546875,0.031572265625,1.1718571004216928e-13,0.0,4.577496879362458e-28,0.0,3162.249574976405,3162.2495749764043
float4,standard,1,900,900,30,0.037644,0.00427734375,0.033046875,0.00022856507830418436,2.1782069004480436e-05,1.7413998340065974e-09,1.5815284337198246e-11,3162.2494549999997,3162.2495
float4,standard,2,900,900,30,0.083796,0.006201171875,0.034443359375,-1,-1,-1,-1,3162.2495898672964,-1
float4,standard,3,900,900,30,0.01043,0.002470703125,0.031962890625,7.114600909390102,1.7729555845107245e-06,1.6872515366631489,1.047790501549255e-13,216.9630172,221.41576
float4,standard,4,900,900,30,0.010713,0.002587890625,0.03216796875,5.464115611859384e-05,2.1782069004480436e-05,9.95218647325515e-11,1.5815284337198246e-11,3162.2496480000004,3162.2495
