Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float8,standard,1,100,100,10,0.224681,0.019814453125,0.259228515625,5.976589477988882e-14,0.0,3.5719621788407415e-28,0.0,110.6896673905652,110.68966739056519
float8,standard,2,100,100,10,0.252538,0.0185546875,0.25513671875,-1,-1,-1,-1,110.6896673905652,-1
float8,standard,3,100,100,10,0.271203,0.01703125,0.2516796875,2.358733762678917,0.0,0.5563624963201441,0.0,23.799648374097103,25.72536931930816
float8,standard,4,100,100,10,0.198889,0.01763671875,0.251484375,6.016056709468422e-14,0.0,3.6192938331540023e-28,0.0,110.6896673905652,110.68966739056519
float,standard,1,100,100,10,0.23019,0.0197265625,0.258115234375,5.976589477988882e-14,1.0787979898177052e-06,3.5719621788407415e-28,1.1638051028347218e-13,110.6896673905652,110.68967
float,standard,2,100,100,10,0.177452,0.019013671875,0.2558203125,-1,-1,-1,-1,110.6896673905652,-1
float,standard,3,100,100,10,0.229843,0.017021484375,0.251982421875,2.358733762678917,3.088775451062963e-07,0.5563624963201441,9.54053378708921e-15,23.799648374097103,25.72537
float,standard,4,100,100,10,0.234964,0.017607421875,0.251123046875,6.016056709468422e-14,1.0787979898177052e-06,3.6192938331540023e-28,1.1638051028347218e-13,110.6896673905652,110.68967
float8,standard,1,400,400,20,0.240373,0.020869140625,0.260908203125,1.5089625962328982e-13,0.0,1.1384840584149643e-27,0.0,1082.968379705699,1082.968379705699
float8,standard,2,400,400,20,0.24655,0.0187109375,0.253076171875,-1,-1,-1,-1,1082.968379705699,-1
float8,standard,3,400,400,20,0.231533,0.01703125,0.249111328125,5.881343812589862,0.0,1.7295102520944527,0.0,106.45155568774092,112.02379675601871
float8,standard,4,400,400,20,0.235651,0.018515625,0.25458984375,1.5089625962328982e-13,0.0,1.1384840584149643e-27,0.0,1082.968379705699,1082.968379705699
float,standard,1,400,400,20,0.245049,0.020712890625,0.260927734375,1.5089625962328982e-13,1.056468181072596e-05,1.1384840584149643e-27,5.580625088094198e-12,1082.968379705699,1082.9684
float,standard,2,400,400,20,0.244538,0.019345703125,0.256328125,-1,-1,-1,-1,1082.968379705699,-1
float,standard,3,400,400,20,0.238218,0.0170703125,0.251650390625,5.881343812589862,9.958838215653578e-07,1.7295102520944527,4.958922930278108e-14,106.45155568774092,112.023796
float,standard,4,400,400,20,0.227567,0.0184375,0.25396484375,1.5089625962328982e-13,1.056468181072596e-05,1.1384840584149643e-27,5.580625088094198e-12,1082.968379705699,1082.9684
float8,standard,1,900,900,30,0.266137,0.021904296875,0.2586328125,1.4431541026443917e-12,0.0,6.942312546597798e-26,0.0,3162.2495749764084,3162.2495749764043
float8,standard,2,900,900,30,0.198367,0.020986328125,0.259775390625,-1,-1,-1,-1,3162.249574976405,-1
float8,standard,3,900,900,30,0.201144,0.017099609375,0.251572265625,7.114600526996076,0.0,1.6872513552910948,0.0,216.9630153268375,221.41578138082605
float8,standard,4,900,900,30,0.240013,0.018798828125,0.25572265625,1.437686262514839e-12,0.0,6.889805964746288e-26,0.0,3162.2495749764066,3162.2495749764043
float,standard,1,900,900,30,0.239671,0.0219921875,0.259755859375,1.4426642454976083e-12,2.1782069004480436e-05,6.937600417457279e-26,1.5815284337198246e-11,3162.2495749764075,3162.2495
float,standard,2,900,900,30,0.243038,0.020712890625,0.25982421875,-1,-1,-1,-1,3162.249574976405,-1
float,standard,3,900,900,30,0.246683,0.01728515625,0.253505859375,7.114600526996076,1.7729555845107245e-06,1.6872513552910948,1.047790501549255e-13,216.9630153268375,221.41576
float,standard,4,900,900,30,0.218222,0.019228515625,0.256650390625,1.437686262514839e-12,2.1782069004480436e-05,6.889805964746288e-26,1.5815284337198246e-11,3162.2495749764066,3162.2495
float8,standard,1,1600,1600,40,0.261205,0.022041015625,0.2582421875,2.121371716945884e-12,0.0,1.1250544903644818e-25,0.0,8493.426295845726,8493.426295845724
float8,standard,2,1600,1600,40,0.247041,0.0214453125,0.2596875,-1,-1,-1,-1,8493.426295845724,-1
float8,standard,3,1600,1600,40,0.220846,0.017353515625,0.25455078125,8.422803378376068,0.0,1.773590418769583,0.0,421.95003634073737,431.81910316203937
float8,standard,4,1600,1600,40,0.238793,0.0203125,0.255234375,2.1740285555168994e-12,0.0,1.181600040050724e-25,0.0,8493.426295845728,8493.426295845724
float,standard,1,1600,1600,40,0.236565,0.022197265625,0.2614453125,2.121371716945884e-12,5.6369033979819394e-05,1.1250544903644818e-25,7.943669979545083e-11,8493.42629584573,8493.426
float,standard,2,1600,1600,40,0.188169,0.021328125,0.261103515625,-1,-1,-1,-1,8493.426295845726,-1
float,standard,3,1600,1600,40,0.229722,0.017265625,0.252353515625,8.422803378376068,3.4274089328828093e-06,1.773590418769583,2.9367829983012197e-13,421.95003634073737,431.8191
float,standard,4,1600,1600,40,0.252147,0.02091796875,0.260439453125,2.1740285555168994e-12,5.6369033979819394e-05,1.181600040050724e-25,7.943669979545083e-11,8493.426295845728,8493.426
float8,standard,1,3600,3600,60,0.282313,0.0233984375,0.261953125,2.2984712153579186e-12,0.0,8.804949879714845e-26,0.0,30108.133585900672,30108.13358590067
float8,standard,2,3600,3600,60,0.313383,0.022392578125,0.2654296875,-1,-1,-1,-1,30108.133585900676,-1
float8,standard,3,3600,3600,60,0.267866,0.01751953125,0.253212890625,13.688352952384406,0.0,3.122850109150848,0.0,1003.9020252867479,1012.5202309489721
float8,standard,4,3600,3600,60,0.281619,0.020126953125,0.25638671875,2.404953625194387e-12,0.0,9.639669898892705e-26,0.0,30108.133585900672,30108.13358590067
float,standard,1,3600,3600,60,0.25659,0.023466796875,0.263486328125,2.247292900480124e-12,0.00015003121707267704,8.417208967580614e-26,3.7515610160514566e-10,30108.13358590067,30108.133
float,standard,2,3600,3600,60,0.272643,0.02232421875,0.264599609375,-1,-1,-1,-1,30108.13358590067,-1
