Type,Aggregation,Statement,MatrixA,MatrixB,VectorV,Execution,Memory,Relation-Size,MSE
float8,standard,1,900,900,30,0.153882,5186355.2,994,-1
float8,standard,2,900,900,30,0.131685,7057817.6,324634,-1
float8,standard,3,900,900,30,0.125811,2114355.2,994,-1
float8,standard,4,900,900,30,0.165076,3285401.6,994,-1
float4,standard,1,900,900,30,0.15271,4900044.8,874,-1
float4,standard,2,900,900,30,0.118383,4780851.2,216634,-1
float4,standard,3,900,900,30,0.124885,4098048.0,874,-1
float4,standard,4,900,900,30,0.156387,4735795.2,874,-1
bfloat,standard,1,900,900,30,0.134635,5002854.4,802,-1
bfloat,standard,2,900,900,30,0.134654,6342656.0,162618,-1
bfloat,standard,3,900,900,30,0.137252,6447104.0,802,-1
bfloat,standard,4,900,900,30,0.168571,5600870.4,802,-1
float8,standard,1,10000,10000,100,0.150267,4266393.6,1834,-1
float8,standard,2,10000,10000,100,0.177804,6012518.4,12000634,-1
float8,standard,3,10000,10000,100,0.145571,4110745.6,1834,-1
float8,standard,4,10000,10000,100,0.152464,3093708.8,1834,-1
float4,standard,1,10000,10000,100,0.160613,5120409.6,1434,-1
float4,standard,2,10000,10000,100,0.174697,31022284.8,8000634,-1
float4,standard,3,10000,10000,100,0.129578,21966848.0,1434,-1
float4,standard,4,10000,10000,100,0.165892,22361292.8,1434,-1
bfloat,standard,1,10000,10000,100,0.176909,31525683.2,1218,-1
bfloat,standard,2,10000,10000,100,0.19882,10661478.4,6000618,-1
bfloat,standard,3,10000,10000,100,0.140044,7350681.6,1218,-1
bfloat,standard,4,10000,10000,100,0.188927,12014387.2,1218,-1
float8,standard,1,90000,90000,300,0.262683,5955174.4,4234,-1
float8,standard,2,90000,90000,300,0.469625,222642995.2,324000634,-1
float8,standard,3,90000,90000,300,0.116034,7978598.4,4234,-1
float8,standard,4,90000,90000,300,0.158631,10833920.0,4234,-1
float4,standard,1,90000,90000,300,0.234688,13242777.6,3034,-1
float4,standard,2,90000,90000,300,0.443857,211144294.4,216000634,-1
float4,standard,3,90000,90000,300,0.106004,35348480.0,3034,-1
float4,standard,4,90000,90000,300,0.165965,15071232.0,3034,-1
bfloat,standard,1,90000,90000,300,0.439027,10418176.0,2418,-1
bfloat,standard,2,90000,90000,300,0.655565,159327436.8,162000618,-1
bfloat,standard,3,90000,90000,300,0.13185,4959436.8,2418,-1
bfloat,standard,4,90000,90000,300,0.184797,7968358.4,2418,-1
float8,standard,1,1000000,1000000,1000,1.003066,54859366.4,12634,-1
float8,standard,3,1000000,1000000,1000,0.127082,34400665.6,12634,-1
float8,standard,4,1000000,1000000,1000,0.177314,52110131.2,12634,-1
float4,standard,1,1000000,1000000,1000,0.996874,107393843.2,8634,-1
float4,standard,3,1000000,1000000,1000,0.143253,17559552.0,8634,-1
float4,standard,4,1000000,1000000,1000,0.179715,21758771.2,8634,-1
bfloat,standard,1,1000000,1000000,1000,2.320725,56963072.0,6618,-1
bfloat,standard,3,1000000,1000000,1000,0.156678,8046182.4,6618,-1
bfloat,standard,4,1000000,1000000,1000,0.230251,26096435.2,6618,-1
float8,standard,1,9610000,9610000,3100,19.991881,853535129.6,37834,-1
float8,standard,3,9610000,9610000,3100,0.307364,105156608.0,37834,-1
float8,standard,4,9610000,9610000,3100,0.434906,229536153.6,37834,-1
float4,standard,1,9610000,9610000,3100,17.775108,1115370291.2,25434,-1
float4,standard,3,9610000,9610000,3100,0.32499,79616000.0,25434,-1
float4,standard,4,9610000,9610000,3100,0.402396,99837132.8,25434,-1
bfloat,standard,1,9610000,9610000,3100,58.14688,1000926822.4,19218,-1
bfloat,standard,3,9610000,9610000,3100,0.440094,79838822.4,19218,-1
bfloat,standard,4,9610000,9610000,3100,0.445353,150885990.4,19218,-1
