Type,Aggregation,Statement,MatrixA,MatrixB,VectorV,Execution,Memory,Relation-Size,MAPE
double,standard,1,900,900,30,0.037047,16744038.4,536576,0
double,kahan,1,900,900,30,0.042677,17386291.2,536576,0
double,standard,2,900,900,30,0.046018,14157004.8,536576,-1
double,kahan,2,900,900,30,0.045914,12894208.0,536576,-1
double,standard,3,900,900,30,0.034773,15443558.4,536576,0
double,kahan,3,900,900,30,0.039413,9730867.2,536576,0
double,standard,4,900,900,30,0.029319,12894617.6,536576,0
double,kahan,4,900,900,30,0.038448,11336089.6,536576,0
float,standard,1,900,900,30,0.045468,14289715.2,536576,4.1852607786969207e-07
float,kahan,1,900,900,30,0.050854,14601011.2,536576,1.9776938417877943e-08
float,standard,2,900,900,30,0.040099,14929510.4,536576,-1
float,kahan,2,900,900,30,0.037504,9329049.6,536576,-1
float,standard,3,900,900,30,0.036281,12011929.6,536576,7.214533379817914e-08
float,kahan,3,900,900,30,0.034779,8114176.0,536576,2.3824268770231856e-08
float,standard,4,900,900,30,0.042642,15177318.4,536576,6.209029204068222e-08
float,kahan,4,900,900,30,0.035435,10082713.6,536576,2.193860826161104e-08
bfloat,standard,1,900,900,30,0.037647,8638054.4,536576,0.1907482505026624
bfloat,kahan,1,900,900,30,0.042207,18063769.6,536576,0.0011526987836414733
bfloat,standard,2,900,900,30,0.039545,11338956.8,536576,-1
bfloat,kahan,2,900,900,30,0.046826,12061900.8,536576,-1
bfloat,standard,3,900,900,30,0.031107,15310848.0,536576,0.004871138078250351
bfloat,kahan,3,900,900,30,0.034432,16081305.6,536576,0.0015285466333638073
bfloat,standard,4,900,900,30,0.035738,13044121.6,536576,0.004792076132415383
bfloat,kahan,4,900,900,30,0.037991,12810240.0,536576,0.0013965486763099393
double,standard,1,10000,10000,100,0.073249,17270374.4,536576,0
double,kahan,1,10000,10000,100,0.112882,15674982.4,536576,0
double,standard,2,10000,10000,100,0.078994,20428390.4,7614464,-1
double,kahan,2,10000,10000,100,0.113425,21270118.4,7614464,-1
double,standard,3,10000,10000,100,0.042578,17516953.6,536576,0
double,kahan,3,10000,10000,100,0.047975,11615846.4,536576,0
double,standard,4,10000,10000,100,0.073222,11624038.4,536576,0
double,kahan,4,10000,10000,100,0.085827,57384140.8,536576,0
float,standard,1,10000,10000,100,0.097576,12282265.6,536576,1.2956530164025763e-06
float,kahan,1,10000,10000,100,0.096784,11509350.4,536576,2.5134439238599344e-08
float,standard,2,10000,10000,100,0.104369,14768128.0,4468736,-1
float,kahan,2,10000,10000,100,0.10236,13058457.6,4468736,-1
float,standard,3,10000,10000,100,0.042348,11123507.2,536576,1.306982023991274e-07
float,kahan,3,10000,10000,100,0.040642,13145702.4,536576,2.0277915424951977e-08
float,standard,4,10000,10000,100,0.039148,11521638.4,536576,1.1738941381471764e-07
float,kahan,4,10000,10000,100,0.062535,34292121.6,536576,2.5276163862182945e-08
bfloat,standard,1,10000,10000,100,0.149415,14319206.4,536576,0.763792816875435
bfloat,kahan,1,10000,10000,100,0.183352,48329113.6,536576,0.001611479271432986
bfloat,standard,2,10000,10000,100,0.146913,29900390.4,2633728,-1
bfloat,kahan,2,10000,10000,100,0.131839,19583795.2,2633728,-1
bfloat,standard,3,10000,10000,100,0.050939,9350758.4,536576,0.008936605493153294
bfloat,kahan,3,10000,10000,100,0.053632,12346572.8,536576,0.0014522978376324935
bfloat,standard,4,10000,10000,100,0.049302,9227468.8,536576,0.009904997054859971
bfloat,kahan,4,10000,10000,100,0.058485,12024627.2,536576,0.0015781494999234055
double,standard,1,90000,90000,300,0.606782,19228672.0,536576,0
double,kahan,1,90000,90000,300,0.713098,18221465.6,536576,0
double,standard,2,90000,90000,300,0.712396,160629964.8,193736704,-1
double,kahan,2,90000,90000,300,0.534132,119373824.0,193736704,-1
double,standard,3,90000,90000,300,0.06402,12636569.6,536576,0
double,kahan,3,90000,90000,300,0.066468,12369920.0,536576,0
double,standard,4,90000,90000,300,0.070861,7437926.4,536576,0
double,kahan,4,90000,90000,300,0.077217,12351488.0,536576,0
float,standard,1,90000,90000,300,0.567334,16645324.8,536576,4.598848390943172e-06
float,kahan,1,90000,90000,300,0.684824,17240064.0,536576,2.0364571863450824e-08
float,standard,2,90000,90000,300,0.511612,47476736.0,115355648,-1
float,kahan,2,90000,90000,300,0.391593,76491161.6,115355648,-1
float,standard,3,90000,90000,300,0.057625,10726604.8,536576,2.0419177185011413e-07
float,kahan,3,90000,90000,300,0.067675,10997760.0,536576,2.0179022068004337e-08
float,standard,4,90000,90000,300,0.076295,14446182.4,536576,2.0746858163666094e-07
float,kahan,4,90000,90000,300,0.077851,14110720.0,536576,2.032585578319747e-08
bfloat,standard,1,90000,90000,300,1.884518,16703488.0,536576,0.9791279444433684
bfloat,kahan,1,90000,90000,300,1.794749,21014118.4,536576,0.011646115453973253
bfloat,standard,2,90000,90000,300,1.075882,104936652.8,58208256,-1
bfloat,kahan,2,90000,90000,300,1.500999,58181632.0,58208256,-1
bfloat,standard,3,90000,90000,300,0.101602,14913536.0,536576,0.012839867360923301
bfloat,kahan,3,90000,90000,300,0.091568,10679091.2,536576,0.0013759175295673946
bfloat,standard,4,90000,90000,300,0.091904,9791078.4,536576,0.04383494908799186
bfloat,kahan,4,90000,90000,300,0.109391,17437491.2,536576,0.0013699908733085695
double,standard,1,1000000,1000000,1000,12.282778,74858905.6,536576,0
double,kahan,1,1000000,1000000,1000,12.996485,77496729.6,536576,0
double,standard,2,1000000,1000000,1000,14.868585,12180273152.0,8539353088,-1
double,kahan,2,1000000,1000000,1000,15.633021,12162436710.4,8539877376,-1
double,standard,3,1000000,1000000,1000,0.114568,14002176.0,536576,0
double,kahan,3,1000000,1000000,1000,0.114432,10655744.0,536576,0
double,standard,4,1000000,1000000,1000,0.127193,18552422.4,536576,0
double,kahan,4,1000000,1000000,1000,0.106535,16872652.8,536576,0
float,standard,1,1000000,1000000,1000,12.498439,69160140.8,536576,0.00028166660707799483
float,kahan,1,1000000,1000000,1000,16.709629,65083801.6,536576,1.5856043996625167e-08
float,standard,2,1000000,1000000,1000,14.403821,8028941107.2,6403141632,-1
float,kahan,2,1000000,1000000,1000,16.923438,7849902489.6,6403141632,-1
float,standard,3,1000000,1000000,1000,0.108133,16194764.8,536576,3.7939605587739003e-07
float,kahan,3,1000000,1000000,1000,0.107726,14024294.4,536576,2.0041987038170422e-08
float,standard,4,1000000,1000000,1000,0.114507,13844480.0,536576,3.526153881790968e-07
float,kahan,4,1000000,1000000,1000,0.119274,12147097.6,536576,1.6072006730097632e-08
bfloat,standard,1,1000000,1000000,1000,47.009415,60388147.2,536576,0.9979759960900454
bfloat,kahan,1,1000000,1000000,1000,57.684229,60607283.2,536576,0.48387900296190817
bfloat,standard,2,1000000,1000000,1000,33.510775,6242726707.2,4269027328,-1
bfloat,kahan,2,1000000,1000000,1000,33.746681,6089668608.0,4269027328,-1
bfloat,standard,3,1000000,1000000,1000,0.145117,9814835.2,536576,0.3546647195406215
bfloat,kahan,3,1000000,1000000,1000,0.167328,12025856.0,536576,0.0013508823418347737
bfloat,standard,4,1000000,1000000,1000,0.14908,11961139.2,536576,0.4849630209170639
bfloat,kahan,4,1000000,1000000,1000,0.194621,20197785.6,536576,0.001107218743815216
double,standard,1,9610000,9610000,3100,29.2592,760245043.2,536576,0
double,kahan,1,9610000,9610000,3100,30.926787,730069401.6,536576,0
double,standard,3,9610000,9610000,3100,0.219298,7701708.8,536576,0
double,kahan,3,9610000,9610000,3100,0.249638,12054118.4,536576,0
double,standard,4,9610000,9610000,3100,0.264211,84290355.2,536576,0
double,kahan,4,9610000,9610000,3100,0.26671,80577331.2,536576,0
float,standard,1,9610000,9610000,3100,26.603224,618268262.4,536576,0.013974383948862502
