Type,Aggregation,Statement,MatrixA,MatrixB,VectorV,Execution,Memory,Relation-Size,MSE
float8,standard,1,900,900,30,0.30834,186863616.0,-1,-1
float8,standard,2,900,900,30,0.182307,111015526.4,-1,-1
float8,standard,3,900,900,30,0.259988,127565414.4,-1,-1
float8,standard,4,900,900,30,0.228174,93906534.4,-1,-1
float8,standard,1,10000,10000,100,0.269431,131570483.2,-1,-1
float8,standard,2,10000,10000,100,0.256962,117545779.2,-1,-1
float8,standard,3,10000,10000,100,0.255111,119250534.4,-1,-1
float8,standard,4,10000,10000,100,0.221724,112758784.0,-1,-1
float8,standard,1,90000,90000,300,0.336807,150505472.0,-1,-1
float8,standard,2,90000,90000,300,0.529586,162069708.8,-1,-1
float8,standard,3,90000,90000,300,0.257797,141209190.4,-1,-1
float8,standard,4,90000,90000,300,0.293248,106977280.0,-1,-1
float8,standard,1,1000000,1000000,1000,0.884278,232511078.4,-1,-1
float8,standard,2,1000000,1000000,1000,8.882124,653459865.6,-1,-1
float8,standard,3,1000000,1000000,1000,0.276455,174707916.8,-1,-1
float8,standard,4,1000000,1000000,1000,0.297109,182778265.6,-1,-1
float8,standard,3,9610000,9610000,3100,0.321933,189338828.8,-1,-1
float8,standard,4,9610000,9610000,3100,0.373483,180287488.0,-1,-1
