Type,Aggregation,Parameters,Points,Iterations,Execution,Heap,RSS,Database-MAE,Tensorflow-MAE,Database-MSE,Tensorflow-MSE,Database-MAPE,Tensorflow-MAPE,Database-sMAPE,Tensorflow-sMAPE,Database-MPE,Tensorflow-MPE,Database,Tensorflow,Truth
double,standard,2,10,100,0.175244,0.0076171875,0.071669921875,1.805763870555494,1.8057638705554937,3.2848769229839108,3.2848769229839094,1418.053394184985,1418.0533941849844,1.2857011258541742,1.2857011258541742,-1418.053394184985,-1418.0533941849844,[ 2.01254196 -0.03818733],"[2.012541958738623, -0.03818732807766658]","[0.75, 0.75]"
double,kahan,2,10,100,0.1894,0.0074609375,0.07115234375,1.805763870555494,1.8057638705554937,3.2848769229839108,3.2848769229839094,1418.053394184985,1418.0533941849844,1.2857011258541742,1.2857011258541742,-1418.053394184985,-1418.0533941849844,[ 2.01254196 -0.03818733],"[2.012541958738623, -0.03818732807766658]","[0.75, 0.75]"
float,standard,2,10,100,0.192976,0.007705078125,0.06966796875,1.8057647499342502,1.8057647791290283,3.2848801514754493,3.284880258659206,1418.0539533158612,1418.053971878627,1.2857013347079325,1.2857013416417336,-1418.0539533158612,-1418.053971878627,[ 2.0125427  -0.03818773],"[2.012542724609375, -0.03818778321146965]","[0.75, 0.75]"
float,kahan,2,10,100,0.186729,0.007685546875,0.069716796875,1.8057647499342502,1.8057647791290283,3.2848801514754493,3.284880258659206,1418.0539533158612,1418.053971878627,1.2857013347079325,1.2857013416417336,-1418.0539533158612,-1418.053971878627,[ 2.0125427  -0.03818777],"[2.012542724609375, -0.03818778321146965]","[0.75, 0.75]"
bfloat,standard,2,10,100,0.186808,0.007509765625,0.069423828125,1.6703986132812498,1.6703986132812498,2.806909963768864,2.806909963768864,1331.9847981352548,1331.9847981352548,1.25203172017846,1.25203172017846,-1331.9847981352548,-1331.9847981352548,[1.8984375  0.02966309],"[1.8984375, 0.0296630859375]","[0.75, 0.75]"
bfloat,kahan,2,10,100,0.171435,0.007724609375,0.06845703125,1.6703986132812498,1.6703986132812498,2.806909963768864,2.806909963768864,1331.9847981352548,1331.9847981352548,1.25203172017846,1.25203172017846,-1331.9847981352548,-1331.9847981352548,[1.8984375  0.02978516],"[1.8984375, 0.0296630859375]","[0.75, 0.75]"
double,standard,2,100,100,0.202607,0.007666015625,0.069921875,2.307504856510252,2.307504856510252,5.387251642261078,5.387251642261078,1332.95531477507,1332.95531477507,1.4510736670486903,1.4510736670486903,-1332.95531477507,-1332.95531477507,[ 2.49611956 -0.18244604],"[2.4961195602241006, -0.1824460383451513]","[0.75, 0.75]"
double,kahan,2,100,100,0.192711,0.0075390625,0.069404296875,2.307504856510252,2.307504856510252,5.387251642261078,5.387251642261078,1332.95531477507,1332.95531477507,1.4510736670486903,1.4510736670486903,-1332.95531477507,-1332.95531477507,[ 2.49611956 -0.18244604],"[2.4961195602241006, -0.1824460383451513]","[0.75, 0.75]"
float,standard,2,100,100,0.169535,0.007734375,0.071728515625,2.30750478879075,2.30750478789854,5.387251323242889,5.387251319039802,1332.9552802020287,1332.9552797465267,1.451073655934173,1.4510736557877386,-1332.9552802020287,-1332.9552797465267,[ 2.4961195  -0.18244588],"[2.496119499206543, -0.18244588375091553]","[0.75, 0.75]"
float,kahan,2,100,100,0.197804,0.007734375,0.070869140625,2.30750478879075,2.30750478789854,5.387251323242889,5.387251319039802,1332.9552802020287,1332.9552797465267,1.451073655934173,1.4510736557877386,-1332.9552802020287,-1332.9552797465267,[ 2.4961195 -0.1824459],"[2.496119499206543, -0.18244588375091553]","[0.75, 0.75]"
bfloat,standard,2,100,100,0.187853,0.007763671875,0.070234375,2.2240199296875,2.2240199296875,5.001189727660489,5.001189727660489,1290.3335033596302,1290.3335033596302,1.4370199039578242,1.4370199039578242,-1290.3335033596302,-1290.3335033596302,[ 2.421875   -0.16015625],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,100,100,0.18276,0.0077734375,0.0676171875,2.2240199296875,2.2240199296875,5.001189727660489,5.001189727660489,1290.3335033596302,1290.3335033596302,1.4370199039578242,1.4370199039578242,-1290.3335033596302,-1290.3335033596302,[ 2.421875   -0.16015625],"[2.421875, -0.16015625]","[0.75, 0.75]"
double,standard,2,1000,100,0.205813,0.007431640625,0.07138671875,2.232411508523431,2.232411508523429,5.042922786605335,5.042922786605326,3314.268916988393,3314.2689169883906,1.4451205003422931,1.445120500342293,-3314.268916988393,-3314.2689169883906,[ 2.43154661 -0.14639197],"[2.4315466112159942, -0.14639197116239247]","[0.75, 0.75]"
