Type,Aggregation,Parameters,Points,Iterations,Execution,Heap,RSS,Database-MAE,Tensorflow-MAE,Database-MSE,Tensorflow-MSE,Database-MAPE,Tensorflow-MAPE,Database-sMAPE,Tensorflow-sMAPE,Database-MPE,Tensorflow-MPE,Database,Tensorflow,Truth
float8,standard,2,10,100,0.014209,0.00263671875,0.03201171875,1.805763870555494,1.8057638705554937,3.2848769229839108,3.2848769229839094,1418.053394184985,1418.0533941849844,1.2857011258541742,1.2857011258541742,-1418.053394184985,-1418.0533941849844,[ 2.01254196 -0.03818733],"[2.012541958738623, -0.03818732807766658]","[0.75, 0.75]"
float4,standard,2,10,100,0.014673,0.002666015625,0.031474609375,1.8057647499342502,1.8057647791290283,3.2848801514754493,3.284880258659206,1418.0539533158612,1418.053971878627,1.2857013347079325,1.2857013416417336,-1418.0539533158612,-1418.053971878627,[ 2.0125427  -0.03818778],"[2.012542724609375, -0.03818778321146965]","[0.75, 0.75]"
float8,standard,2,100,100,0.020445,0.002568359375,0.03125,2.307504856510252,2.307504856510252,5.387251642261078,5.387251642261078,1332.95531477507,1332.95531477507,1.4510736670486903,1.4510736670486903,-1332.95531477507,-1332.95531477507,[ 2.49611956 -0.18244604],"[2.4961195602241006, -0.1824460383451513]","[0.75, 0.75]"
float4,standard,2,100,100,0.019791,0.00259765625,0.031845703125,2.30750478879075,2.30750478789854,5.387251323242889,5.387251319039802,1332.9552802020287,1332.9552797465267,1.451073655934173,1.4510736557877386,-1332.9552802020287,-1332.9552797465267,[ 2.4961195 -0.1824459],"[2.496119499206543, -0.18244588375091553]","[0.75, 0.75]"
float8,standard,2,1000,100,0.055481,0.002685546875,0.031845703125,2.232411508523431,2.232411508523429,5.042922786605335,5.042922786605326,3314.268916988393,3314.2689169883906,1.4451205003422931,1.445120500342293,-3314.268916988393,-3314.2689169883906,[ 2.43154661 -0.14639197],"[2.4315466112159942, -0.14639197116239247]","[0.75, 0.75]"
float4,standard,2,1000,100,0.062566,0.002626953125,0.032470703125,2.2324110470581253,2.2324113272272053,5.04292068186467,5.042921959714216,3314.2683395772983,3314.2686901404572,1.4451204219779186,1.4451204695552244,-3314.2683395772983,-3314.2686901404572,[ 2.4315462  -0.14639185],"[2.431546449661255, -0.14639200270175934]","[0.75, 0.75]"
float8,standard,2,10000,100,0.394288,0.003251953125,0.03330078125,2.279022780154404,2.2790227801544,5.255225704288613,5.255225704288591,1943.1262263933086,1943.126226393305,1.4483169676544259,1.4483169676544252,-1943.1262263933086,-1943.126226393305,[ 2.47123887 -0.16942711],"[2.4712388668497236, -0.1694271086173583]","[0.75, 0.75]"
float4,standard,2,10000,100,0.337569,0.003212890625,0.032734375,2.279023604226238,2.279023298926254,5.255229539412568,5.255228118585683,1943.1268325340461,1943.1266079726072,1.4483171047319352,1.4483170539478252,-1943.1268325340461,-1943.1266079726072,[ 2.4712396  -0.16942742],"[2.4712393283843994, -0.16942723095417023]","[0.75, 0.75]"
float8,standard,2,100000,100,2.830631,0.00740234375,0.04017578125,2.289445364395347,2.2894453643953376,5.303206208682454,5.303206208682413,1835.5158110004306,1835.5158110004243,1.4487595208292319,1.4487595208292303,-1835.5158110004306,-1835.5158110004243,[ 2.47989504 -0.17490574],"[2.479895038267673, -0.17490574073269535]","[0.75, 0.75]"
float4,standard,2,100000,100,2.932759,0.007568359375,0.040078125,2.289445771206476,2.289445718706169,5.303208110324196,5.303207864911087,1835.5160933263405,1835.5160568912584,1.4487595882117539,1.4487595795158197,-1835.5160933263405,-1835.5160568912584,[ 2.4798954  -0.17490582],"[2.4798953533172607, -0.17490582168102264]","[0.75, 0.75]"
float8,standard,2,1000000,100,20.897277,0.00740234375,0.03572265625,2.2882862648645714,2.288286264864576,5.297787039421999,5.297787039422014,inf,inf,1.4484400096622803,1.4484400096622807,-inf,-inf,[ 2.47871151 -0.17464717],"[2.478711508138287, -0.1746471684001314]","[0.75, 0.75]"
float4,standard,2,1000000,100,21.670404,0.007568359375,0.0369921875,2.288285693326205,2.288285569394938,5.2977843691382445,5.297783790119211,inf,inf,1.4484399149211187,1.4484398943776249,-inf,-inf,[ 2.478711  -0.1746468],"[2.478710889816284, -0.17464679479599]","[0.75, 0.75]"
float8,standard,2,2500000,100,54.61442,0.00740234375,0.035478515625,2.287727224514815,2.2877272245154003,5.295166421212499,5.295166421215245,inf,inf,1.4482414537710837,1.4482414537711805,-inf,-inf,[ 2.47811676 -0.17456045],"[2.4781167611264237, -0.174560454212905]","[0.75, 0.75]"
float4,standard,2,2500000,100,51.704809,0.007568359375,0.036240234375,2.287727718189086,2.287727480995185,5.295168727128673,5.2951676192133705,inf,inf,1.4482415356417144,1.4482414963056307,-inf,-inf,[ 2.4781172  -0.17456064],"[2.478116989135742, -0.1745605319738388]","[0.75, 0.75]"
float8,standard,2,5000000,100,105.267875,0.00740234375,0.03619140625,2.28715833978139,2.2871583397807385,5.29249221612928,5.292492216126244,inf,inf,1.4480010401691543,1.4480010401690475,-inf,-inf,[ 2.47748701 -0.17451118],"[2.4774870058278218, -0.17451117912987257]","[0.75, 0.75]"
float4,standard,2,5000000,100,101.829316,0.007568359375,0.036669921875,2.2871592332143447,2.287159236032993,5.29249638821096,5.292496401373258,inf,inf,1.4480011884114508,1.4480011888791333,-inf,-inf,[ 2.4774878  -0.17451158],"[2.477487802505493, -0.17451156675815582]","[0.75, 0.75]"
float8,standard,2,7500000,100,153.342867,0.00740234375,0.036259765625,2.287658482401257,2.287658482401148,5.294793878820058,5.294793878819552,inf,inf,1.4480087216054316,1.448008721605414,-inf,-inf,[ 2.47789092 -0.17479196],"[2.4778909217400726, -0.17479195571718228]","[0.75, 0.75]"
float4,standard,2,7500000,100,151.304499,0.007509765625,0.036845703125,2.287659020456606,2.2876590712627363,5.294796391917274,5.294796629217698,inf,inf,1.4480088108650728,1.4480088192934537,-inf,-inf,[ 2.4778914  -0.17479223],"[2.477891445159912, -0.17479223012924194]","[0.75, 0.75]"
