Type,Aggregation,Parameters,Points,Iterations,Execution,Heap,RSS,Database-MAE,Tensorflow-MAE,Database-MSE,Tensorflow-MSE,Database-MAPE,Tensorflow-MAPE,Database-sMAPE,Tensorflow-sMAPE,Database-MPE,Tensorflow-MPE,Database,Tensorflow,Truth
float8,standard,2,10,100,0.262943,0.01931640625,0.253115234375,1.8057638705554904,1.8057638705554937,3.284876922983897,3.2848769229839094,1418.0533941849826,1418.0533941849844,1.2857011258541733,1.2857011258541742,-1418.0533941849826,-1418.0533941849844,[ 2.01254196 -0.03818733],"[2.012541958738623, -0.03818732807766658]","[0.75, 0.75]"
float,standard,2,10,100,0.318962,0.01931640625,0.256240234375,1.8057638705554904,1.8057647791290283,3.284876922983897,3.284880258659206,1418.0533941849826,1418.053971878627,1.2857011258541733,1.2857013416417336,-1418.0533941849826,-1418.053971878627,[ 2.01254196 -0.03818733],"[2.012542724609375, -0.03818778321146965]","[0.75, 0.75]"
float8,standard,2,100,100,0.253634,0.01931640625,0.255771484375,2.3075048565102514,2.307504856510252,5.387251642261076,5.387251642261078,1332.95531477507,1332.95531477507,1.4510736670486901,1.4510736670486903,-1332.95531477507,-1332.95531477507,[ 2.49611956 -0.18244604],"[2.4961195602241006, -0.1824460383451513]","[0.75, 0.75]"
float,standard,2,100,100,0.23491,0.01931640625,0.2554296875,2.3075048565102514,2.30750478789854,5.387251642261076,5.387251319039802,1332.95531477507,1332.9552797465267,1.4510736670486901,1.4510736557877386,-1332.95531477507,-1332.9552797465267,[ 2.49611956 -0.18244604],"[2.496119499206543, -0.18244588375091553]","[0.75, 0.75]"
float8,standard,2,1000,100,0.27248,0.01931640625,0.255537109375,2.2324115085234353,2.232411508523429,5.042922786605355,5.042922786605326,3314.268916988399,3314.2689169883906,1.445120500342294,1.445120500342293,-3314.268916988399,-3314.2689169883906,[ 2.43154661 -0.14639197],"[2.4315466112159942, -0.14639197116239247]","[0.75, 0.75]"
float,standard,2,1000,100,0.265439,0.01931640625,0.255205078125,2.2324115085234353,2.2324113272272053,5.042922786605355,5.042921959714216,3314.268916988399,3314.2686901404572,1.445120500342294,1.4451204695552244,-3314.268916988399,-3314.2686901404572,[ 2.43154661 -0.14639197],"[2.431546449661255, -0.14639200270175934]","[0.75, 0.75]"
float8,standard,2,10000,100,0.253602,0.018759765625,0.253193359375,2.2790227801544067,2.2790227801544,5.255225704288624,5.255225704288591,1943.1262263933106,1943.126226393305,1.4483169676544263,1.4483169676544252,-1943.1262263933106,-1943.126226393305,[ 2.47123887 -0.16942711],"[2.4712388668497236, -0.1694271086173583]","[0.75, 0.75]"
float,standard,2,10000,100,0.301743,0.01935546875,0.25453125,2.279022780154396,2.279023298926254,5.255225704288573,5.255228118585683,1943.1262263933022,1943.1266079726072,1.4483169676544247,1.4483170539478252,-1943.1262263933022,-1943.1266079726072,[ 2.47123887 -0.16942711],"[2.4712393283843994, -0.16942723095417023]","[0.75, 0.75]"
float8,standard,2,100000,100,0.314,0.019658203125,0.25748046875,2.289445364395334,2.2894453643953376,5.303206208682395,5.303206208682413,1835.5158110004218,1835.5158110004243,1.4487595208292297,1.4487595208292303,-1835.5158110004218,-1835.5158110004243,[ 2.47989504 -0.17490574],"[2.479895038267673, -0.17490574073269535]","[0.75, 0.75]"
float,standard,2,100000,100,0.312903,0.019658203125,0.258291015625,2.289445364395334,2.289445718706169,5.303206208682395,5.303207864911087,1835.5158110004218,1835.5160568912584,1.4487595208292297,1.4487595795158197,-1835.5158110004218,-1835.5160568912584,[ 2.47989504 -0.17490574],"[2.4798953533172607, -0.17490582168102264]","[0.75, 0.75]"
