Type,Aggregation,Parameters,Points,Iterations,Execution,Memory,Relation-Size,MAPE
float8,standard,2,10,20,1.052277,8439398.4,1170,-1
float4,standard,2,10,20,1.046921,6579814.4,1010,-1
bfloat,standard,2,10,20,1.113421,10937958.4,914,-1
float8,standard,2,1000,20,1.029219,4515430.4,1170,-1
float4,standard,2,1000,20,1.085776,8262451.2,1010,-1
bfloat,standard,2,1000,20,1.173592,8212070.4,914,-1
float8,standard,2,100000,20,1.252657,9296281.6,1170,-1
float4,standard,2,100000,20,1.294929,10443980.8,1010,-1
bfloat,standard,2,100000,20,2.164139,17346969.6,914,-1
float8,standard,2,10000000,20,4.139885,3295178342.4,1170,-1
float4,standard,2,10000000,20,3.945288,2428669952.0,1010,-1
bfloat,standard,2,10000000,20,13.400819,55730995.2,914,-1
float8,standard,4,10000000,20,5.972715,3625424486.4,1778,-1
float4,standard,4,10000000,20,6.631803,2953935257.6,1458,-1
bfloat,standard,4,10000000,20,26.630974,125206118.4,1266,-1
float8,standard,6,10000000,20,6.043596,4766724915.2,2386,-1
float4,standard,6,10000000,20,7.635126,4637820928.0,1906,-1
bfloat,standard,6,10000000,20,40.719483,307289292.8,1618,-1
float8,standard,8,10000000,20,9.372595,8346129612.8,2994,-1
float4,standard,8,10000000,20,9.640196,5219411968.0,2354,-1
bfloat,standard,8,10000000,20,53.749473,197941248.0,1970,-1
float8,standard,10,10000000,20,12.209097,11298360115.2,3602,-1
float4,standard,10,10000000,20,11.590245,8236050022.4,2802,-1
bfloat,standard,10,10000000,20,68.312087,214684467.2,2322,-1
