Type,Network_Size,Data_Size,Learning_Rate,Iterations,Execution,Memory,Relation-Size,Accuracy
double,300,150,0.05,20,0,0.123525390625,0,0.3333333333333333
float,300,150,0.05,20,0,0.1067578125,0,0.3333333333333333
bfloat,300,150,0.05,20,0,0.103603515625,0,0.3333333333333333
double,300,300,0.05,20,0,0.125263671875,0,0.3333333333333333
float,300,300,0.05,20,0,0.0991796875,0,0.26666666666666666
bfloat,300,300,0.05,20,0,0.080390625,0,0.3333333333333333
double,300,600,0.05,20,0,0.175146484375,0,0.3333333333333333
float,300,600,0.05,20,0,0.109755859375,0,0.3333333333333333
bfloat,300,600,0.05,20,0,0.09505859375,0,0.3333333333333333
double,300,1200,0.05,20,0,0.19833984375,0,0.3333333333333333
float,300,1200,0.05,20,0,0.158701171875,0,0.3333333333333333
bfloat,300,1200,0.05,20,0,0.125068359375,0,0.3333333333333333
double,100,1200,0.05,20,0,0.11765625,0,0.3333333333333333
float,100,1200,0.05,20,0,0.099931640625,0,0.3333333333333333
bfloat,100,1200,0.05,20,0,0.101728515625,0,0.3333333333333333
double,200,1200,0.05,20,0,0.1846484375,0,0.3333333333333333
float,200,1200,0.05,20,0,0.12634765625,0,0.3333333333333333
bfloat,200,1200,0.05,20,0,0.10177734375,0,0.3333333333333333
double,400,1200,0.05,20,0,0.257373046875,0,0.3333333333333333
float,400,1200,0.05,20,0,0.177705078125,0,0.3333333333333333
bfloat,400,1200,0.05,20,0,0.136826171875,0,0.3333333333333333
double,300,1200,0.05,1,0,0.137216796875,0,0.3333333333333333
float,300,1200,0.05,1,0,0.106376953125,0,0.3333333333333333
bfloat,300,1200,0.05,1,0,0.09486328125,0,0.3333333333333333
double,300,1200,0.05,5,0,0.1705859375,0,0.3333333333333333
float,300,1200,0.05,5,0,0.139365234375,0,0.3333333333333333
bfloat,300,1200,0.05,5,0,0.105,0,0.3333333333333333
double,300,1200,0.05,10,0,0.17486328125,0,0.3333333333333333
float,300,1200,0.05,10,0,0.1316796875,0,0.3333333333333333
bfloat,300,1200,0.05,10,0,0.102841796875,0,0.3333333333333333
double,300,1200,0.05,15,0,0.1683203125,0,0.3333333333333333
float,300,1200,0.05,15,0,0.1539453125,0,0.3333333333333333
bfloat,300,1200,0.05,15,0,0.115185546875,0,0.3333333333333333
