Type,Network_Size,Data_Size,Learning_Rate,Iterations,Execution,Memory,Relation-Size,Accuracy
float8,300,150,0.05,20,0,0.262236328125,0,-1
float8,300,300,0.05,20,0,0.262412109375,0,-1
float8,300,600,0.05,20,0,0.262734375,0,-1
float8,300,1200,0.05,20,0,0.26396484375,0,-1
float8,100,1200,0.05,20,0,0.263154296875,0,-1
float8,200,1200,0.05,20,0,0.2635546875,0,-1
float8,400,1200,0.05,20,0,0.26416015625,0,-1
float8,300,1200,0.05,1,0,0.25845703125,0,-1
float8,300,1200,0.05,5,0,0.260341796875,0,-1
float8,300,1200,0.05,1,0,0.258017578125,0,-1
float8,300,1200,0.05,5,0,0.2598828125,0,-1
float8,300,1200,0.05,10,0,0.261474609375,0,-1
float8,300,1200,0.05,15,0,0.2603515625,0,-1
