Type,Network_Size,Data_Size,Learning_Rate,Iterations,Execution,Memory,Relation-Size,Accuracy
float8,300,150,0.01,20,3.659166,1833776332.8,386330,-1
float4,300,150,0.01,20,2.863505,975218688.0,209930,-1
bfloat,300,150,0.01,20,3.197756,573079961.6,121730,-1
float8,300,300,0.01,20,4.668041,3876709580.8,386330,-1
float4,300,300,0.01,20,3.758626,2021812224.0,209930,-1
bfloat,300,300,0.01,20,4.289416,1128040448.0,121730,-1
float8,300,600,0.01,20,6.345088,8078082048.0,386330,-1
float4,300,600,0.01,20,5.438985,4312884838.4,209930,-1
bfloat,300,600,0.01,20,6.206818,2367207833.6,121730,-1
float8,300,1200,0.01,20,9.941449,16872925593.6,386330,-1
float4,300,1200,0.01,20,9.330391,9089093632.0,209930,-1
bfloat,300,1200,0.01,20,10.044189,5052199321.6,121730,-1
float8,100,1200,0.01,20,5.834803,5606812057.6,130658,-1
float4,100,1200,0.01,20,4.13019,2885729075.2,71858,-1
bfloat,100,1200,0.01,20,5.041528,1748373504.0,42458,-1
float8,200,1200,0.01,20,8.027557,11348871577.6,258490,-1
float4,200,1200,0.01,20,7.007224,5916485632.0,140890,-1
bfloat,200,1200,0.01,20,7.724437,3173740134.4,82090,-1
float8,400,1200,0.01,20,15.331987,22366051532.8,514162,-1
float4,400,1200,0.01,20,10.928053,12110892236.8,278962,-1
bfloat,400,1200,0.01,20,13.518767,6734919270.4,161362,-1
