Type,Network_Size,Data_Size,Learning_Rate,Iterations,Execution,Memory,Relation-Size,Accuracy
float8,300,150,0.01,20,0.367246,196189798.4,-1,-1
float8,300,300,0.01,20,0.53714,193905049.6,-1,-1
float8,300,600,0.01,20,0.760842,200955904.0,-1,-1
float8,300,1200,0.01,20,1.43056,191378636.8,-1,-1
float8,100,1200,0.01,20,0.934565,179313049.6,-1,-1
float8,200,1200,0.01,20,1.218461,166241894.4,-1,-1
float8,400,1200,0.01,20,1.625974,206198374.4,-1,-1
float8,300,1200,0.01,1,0.355526,140655411.2,-1,-1
float8,300,1200,0.01,5,0.685373,173484032.0,-1,-1
float8,300,1200,0.01,10,0.985119,178835865.6,-1,-1
float8,300,1200,0.01,15,1.148942,228724326.4,-1,-1
