Type,Network_Size,Data_Size,Iterations,Execution,Heap,RSS,DuckDB,Tensorflow
float,20,150,60,3.142459,0.069521484375,0.318251953125,[[0.6666667]],-
bfloat,20,150,60,3.083153,0.071484375,0.32255859375,[[0.6666667]],-
float,20,300,60,3.078347,0.076044921875,0.364365234375,[[0.68666667]],-
bfloat,20,300,60,3.093276,0.074345703125,0.364423828125,[[0.6666667]],-
float,20,600,60,3.444434,0.074716796875,0.426416015625,[[0.6666667]],-
bfloat,20,600,60,3.471938,0.076767578125,0.445341796875,[[0.6666667]],-
float,20,1200,60,3.88632,0.081591796875,0.635576171875,[[0.68666667]],-
bfloat,20,1200,60,4.266307,0.079013671875,0.653505859375,[[0.74666667]],-
float,50,150,60,5.683861,0.08158203125,0.387373046875,[[0.8]],-
bfloat,50,150,60,5.913973,0.0817578125,0.39966796875,[[0.73333335]],-
float,50,300,60,3.738342,0.077197265625,0.444755859375,[[0.9533333]],-
bfloat,50,300,60,4.018615,0.077392578125,0.453896484375,[[0.81333333]],-
float,50,600,60,4.721625,0.079609375,0.716162109375,[[0.86]],-
bfloat,50,600,60,5.253644,0.078876953125,0.720009765625,[[0.6666667]],-
float,50,1200,100,11.105625,0.097470703125,1.94,[[0.82]],-
bfloat,50,1200,100,12.839065,0.098251953125,1.96,[[0.87333333]],-
