Type,Points,Cluster,Iterations,Execution,Heap,RSS,Accuracy,DuckDB,Tensorflow
float,10,4,10,0.125594,0.030556640625,0.11103515625,99.99999902660191,"[[-2.021385   4.354082 ]
 [ 6.0695853 -7.7025084]
 [ 6.2339897  5.4815874]
 [ 9.685901  -6.302966 ]]","[[-2.021385   4.3540816]
 [ 6.0695853 -7.7025084]
 [ 6.2339897  5.4815874]
 [ 9.685901  -6.302966 ]]"
bfloat,10,4,10,0.109192,0.03021484375,0.111630859375,99.92188430438567,"[[-2.015625  4.34375 ]
 [ 6.0625   -7.6875  ]
 [ 6.25      5.5     ]
 [ 9.6875   -6.3125  ]]","[[-2.021385   4.3540816]
 [ 6.0695853 -7.7025084]
 [ 6.2339897  5.4815874]
 [ 9.685901  -6.302966 ]]"
float,100,4,10,0.119501,0.0313671875,0.116025390625,99.99999791579202,"[[-5.4226456  5.107277 ]
 [ 4.980597  -5.810351 ]
 [ 4.699359   4.2035193]
 [-3.592397  -3.1824377]]","[[-5.4226456  5.1072774]
 [ 4.9805975 -5.810351 ]
 [ 4.699359   4.203519 ]
 [-3.5923967 -3.182438 ]]"
bfloat,100,4,10,0.126261,0.0309375,0.11556640625,99.92837192785626,"[[-5.4375   5.09375]
 [ 4.96875 -5.8125 ]
 [ 4.6875   4.1875 ]
 [-3.59375 -3.1875 ]]","[[-5.4226456  5.1072774]
 [ 4.9805975 -5.810351 ]
 [ 4.699359   4.203519 ]
 [-3.5923967 -3.182438 ]]"
float,1000,4,10,0.177134,0.03072265625,0.1282421875,99.99999241679014,"[[-49.97651   50.20616 ]
 [ 51.643127  48.16832 ]
 [ 48.987484 -52.568005]
 [-44.492958 -52.122353]]","[[-49.9765    50.206165]
 [ 51.643116  48.16831 ]
 [ 48.9875   -52.568   ]
 [-44.492947 -52.122368]]"
bfloat,1000,4,10,0.156906,0.030966796875,0.124873046875,99.55399986132474,"[[-51.25  49.75]
 [ 50.5   48.25]
 [ 49.25 -52.5 ]
 [-44.   -52.75]]","[[-49.9765    50.206165]
 [ 51.643116  48.16831 ]
 [ 48.9875   -52.568   ]
 [-44.492947 -52.122368]]"
float,10000,4,10,0.350209,0.031259765625,0.159443359375,99.99997995046981,"[[-49.74956  -52.197437]
 [ 50.641914 -49.207592]
 [-50.62808   47.625633]
 [ 48.747692  51.02185 ]]","[[-49.749523 -52.197433]
 [ 50.641884 -49.20757 ]
 [-50.6281    47.625656]
 [ 48.747704  51.021797]]"
bfloat,10000,4,10,0.401849,0.031357421875,0.15404296875,99.76569210190698,"[[-49.25 -52.25]
 [ 50.5  -48.75]
 [-50.75  47.25]
 [ 48.25  51.  ]]","[[-49.749523 -52.197433]
 [ 50.641884 -49.20757 ]
 [-50.6281    47.625656]
 [ 48.747704  51.021797]]"
float,100000,4,10,1.851777,0.0386328125,0.4073828125,99.99990150259573,"[[-50.9067    49.40211 ]
 [-48.87624  -50.599728]
 [ 49.040512  50.766853]
 [ 50.96888  -49.393925]]","[[-50.90661   49.402157]
 [-48.876183 -50.600002]
 [ 49.04071   50.766727]
 [ 50.968906 -49.393757]]"
bfloat,100000,4,10,1.964471,0.03859375,0.385126953125,98.69205620155088,"[[-50.5   47.  ]
 [-46.25 -50.  ]
 [ 46.25  50.  ]
 [ 50.5  -47.  ]]","[[-50.90661   49.402157]
 [-48.876183 -50.600002]
 [ 49.04071   50.766727]
 [ 50.968906 -49.393757]]"
float,1000000,4,10,6.430442,0.04720703125,1.16,99.99961313715417,"[[ 237.97278  261.38428]
 [ 261.5984  -237.5423 ]
 [-236.93347 -262.77493]
 [-262.12305  235.8993 ]]","[[ 237.97849  261.384  ]
 [ 261.5968  -237.54478]
 [-236.93571 -262.7763 ]
 [-262.121    235.90294]]"
bfloat,1000000,4,10,6.486824,0.043662109375,1.01,81.79725863949861,"[[  59.25  298.  ]
 [ 294.    -58.5 ]
 [ -58.25 -298.  ]
 [-296.     57.5 ]]","[[ 237.97849  261.384  ]
 [ 261.5968  -237.54478]
 [-236.93571 -262.7763 ]
 [-262.121    235.90294]]"
float,10000000,4,10,57.572645,0.12419921875,8.47,99.98524518264072,"[[ 206.61314 -279.79117]
 [ 279.7466   213.22415]
 [-213.70241  281.83237]
 [-285.3353  -209.62448]]","[[ 206.49951 -279.8734 ]
 [ 279.8451   213.11107]
 [-213.58066  281.92334]
 [-285.43488 -209.51501]]"
bfloat,10000000,4,10,38.245339,0.11271484375,7.11,78.5692938276429,"[[-4.1406250e-01 -2.1700000e+02]
 [ 2.7600000e+02  5.1562500e-01]
 [-7.3828125e-01  2.3200000e+02]
 [-2.7800000e+02  7.7148440e-02]]","[[ 206.49951 -279.8734 ]
 [ 279.8451   213.11107]
 [-213.58066  281.92334]
 [-285.43488 -209.51501]]"
float,100000000,4,10,613.388299,0.715009765625,70.95,99.78026580501135,"[[ 507.1344   490.6892 ]
 [-492.50055  508.70148]
 [ 494.60495 -509.0916 ]
 [-505.34274 -491.42358]]","[[ 511.50253  489.93686]
 [-487.903    508.85306]
 [ 490.1689  -509.40567]
 [-509.39197 -490.786  ]]"
bfloat,100000000,4,10,318.794593,0.5233984375,59.54,70.74718344696383,"[[ 604.           7.78125  ]
 [  10.9375     189.       ]
 [   1.6171875 -508.       ]
 [-556.           8.8125   ]]","[[ 511.50253  489.93686]
 [-487.903    508.85306]
 [ 490.1689  -509.40567]
 [-509.39197 -490.786  ]]"
