Type,Points,Iterations,Execution,Heap,RSS,MAPE,DuckDB,Tensorflow,Truth
float,10,100,0.145012,0.00771484375,0.05845703125,17.70577597791936,[0.91119915 2.926805  ],[0.91119915 2.926805  ],[0.5915 3.2185]
bfloat,10,100,0.20021,0.00763671875,0.056884765625,17.598607363048423,[1.015625 2.828125],[1.01562 2.82812],[0.5915 3.2185]
float,100,100,0.187434,0.007509765625,0.05734375,13.068862957841349,[ -1.5478102 -32.947277 ],[ -1.5478102 -32.947277 ],[ -0.8178 -38.5653]
bfloat,100,100,0.19176,0.00775390625,0.058603515625,15.538547785107424,[ -1.59375 -32.     ],[-1.59375 -32],[ -0.8178 -38.5653]
float,1000,100,0.191768,0.00763671875,0.05794921875,12.646641969534873,[ 1.1486473 52.482178 ],[ 1.1486474 52.482178 ],[ 0.9456 60.3033]
bfloat,1000,100,0.214409,0.0077734375,0.057431640625,12.316911477841295,[ 1.1484375 52.75     ],[1.14062 52.75],[ 0.9456 60.3033]
float,10000,100,0.239953,0.00763671875,0.06068359375,12.953414103929015,[ 8.1797640e-02 -1.0242571e+02],[ 8.17975998e-02 -1.02425705e+02],[   0.1958 -118.3865]
bfloat,10000,100,0.308828,0.007626953125,0.057744140625,12.585224840899528,[   0.11767578 -103.        ],[0.119629 -103.5],[   0.1958 -118.3865]
float,100000,100,0.617237,0.007666015625,0.05916015625,12.9421799946059,[   0.24287866 -230.86761   ],[   0.24287875 -230.86761   ],[ 6.360000e-02 -2.662564e+02]
bfloat,100000,100,1.840453,0.007685546875,0.059296875,13.269333738671646,[   0.29492188 -230.        ],[0.294922 -230],[ 6.360000e-02 -2.662564e+02]
float,1000000,100,1.008995,0.008369140625,0.087724609375,12.944675912513912,[  -0.2447228 -231.68433  ],[  -0.24472278 -231.68433   ],[  -0.4591 -267.2578]
bfloat,1000000,100,3.471011,0.008173828125,0.079560546875,13.201839582238813,[  -0.27734375 -231.        ],[-0.283203 -231],[  -0.4591 -267.2578]
float,2500000,100,1.430811,0.0133203125,0.110419921875,12.797707482229981,[   0.41664746 -168.99551   ],[   0.41664743 -168.99551   ],[   0.3538 -194.9778]
bfloat,2500000,100,4.906153,0.012138671875,0.100107421875,12.369034837410151,[   0.42773438 -170.        ],[0.427734 -170],[   0.3538 -194.9778]
float,5000000,100,1.671289,0.0219140625,0.1301171875,13.008590173125064,[   0.63835037 -149.71164   ],[   0.6383503 -149.71164  ],[   0.527  -172.7614]
bfloat,5000000,100,5.663004,0.020087890625,0.11568359375,13.770441746592791,[   0.6484375 -148.       ],[0.648438 -148],[   0.527  -172.7614]
float,50000000,100,5.985123,0.024169921875,0.386455078125,33.96345200880069,[ 3.951151e-02 -4.304749e+01],[ 3.951153e-02 -4.304749e+01],[ -0.1038 -49.781 ]
bfloat,50000000,100,28.290112,0.02208984375,0.312763671875,34.17044001157623,[  0.04931641 -43.75      ],[0.048584 -43.75],[ -0.1038 -49.781 ]
float,500000000,100,52.564603,0.04017578125,3.0,69.03596030070148,[-1.1550322 30.708277 ],[-1.155032 30.708277],[-1.4846 35.2502]
bfloat,500000000,100,283.21324,0.03423828125,2.32,68.88813878248511,[-1.15625 30.625  ],[-1.15625 30.5],[-1.4846 35.2502]
