Type,Points,Iterations,Execution,Heap,RSS,MAPE,DuckDB,Tensorflow,Truth
float,10,100,0.153791,0.0078125,0.05673828125,11.795351357572804,[ 1.7525369 -3.1194928],[ 1.7525365 -3.1194925],[ 0.75  -2.582]
bfloat,10,100,0.142866,0.007841796875,0.05685546875,16.403523189133885,[ 2.125   -3.34375],[2.09375 -3.32812],[ 0.75  -2.582]
float,100,100,0.157137,0.007861328125,0.058115234375,11.165957212990243,[ 1.6447748 -3.066685 ],[ 1.6447743 -3.0666847],[ 0.75  -2.582]
bfloat,100,100,0.133578,0.007841796875,0.057294921875,11.34569127873039,[ 1.640625 -3.109375],[1.64062 -3.10938],[ 0.75  -2.582]
float,1000,100,0.14341,0.007783203125,0.057958984375,11.012087335010087,[ 1.6955545 -3.0967128],[ 1.695553 -3.096712],[ 0.75  -2.582]
bfloat,1000,100,0.155388,0.007763671875,0.05779296875,9.242294407383074,[-0.03857422 -2.109375  ],[2.03125 -3.29688],[ 0.75  -2.582]
float,10000,100,0.184001,0.0077734375,0.058583984375,11.555031276476125,[ 1.7677184 -3.1258588],[ 1.7677168 -3.1258578],[ 0.75  -2.582]
bfloat,10000,100,0.412835,0.0078515625,0.058154296875,466.2203005473545,[5.28125 5.21875],[2.09375 -3.32812],[ 0.75  -2.582]
float,100000,100,0.684015,0.00787109375,0.06044921875,11.510068502396908,[ 1.7575581 -3.1218898],[ 1.7575585 -3.12189  ],[ 0.75  -2.582]
bfloat,100000,100,3.283537,0.007802734375,0.05515625,799.8282858426985,[10. 10.],[2.09375 -3.32812],[ 0.75  -2.582]
float,1000000,100,0.820892,0.008349609375,0.078701171875,11.545939993217374,[ 1.762439 -3.123776],[ 1.7624353 -3.1237733],[ 0.75  -2.582]
bfloat,1000000,100,3.82599,0.008408203125,0.07169921875,799.3499001284288,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,2500000,100,1.190632,0.013056640625,0.098251953125,11.534946587945406,[ 1.7606553 -3.1230292],[ 1.7606509 -3.1230268],[ 0.75  -2.582]
bfloat,2500000,100,4.801409,0.012109375,0.086328125,799.4809838639618,[10. 10.],[2.09375 -3.32812],[ 0.75  -2.582]
float,5000000,100,1.677163,0.021611328125,0.119853515625,11.530446716504388,[ 1.7603601 -3.1229556],[ 1.7603562 -3.1229534],[ 0.75  -2.582]
bfloat,5000000,100,6.324578,0.020146484375,0.107392578125,799.5379942910926,[10. 10.],[2.09375 -3.32812],[ 0.75  -2.582]
float,7500000,100,2.0546,0.021103515625,0.134638671875,11.547014171728032,[ 1.7618808 -3.1234767],[ 1.7618594 -3.123466 ],[ 0.75  -2.582]
bfloat,7500000,100,7.598913,0.019306640625,0.11810546875,799.344356795759,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,10000000,100,2.573183,0.021748046875,0.148525390625,11.5436701012764,[ 1.7610955 -3.1230955],[ 1.761065 -3.123079],[ 0.75  -2.582]
bfloat,10000000,100,9.184289,0.020048828125,0.129423828125,799.3656931519466,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,25000000,100,3.395263,0.02255859375,0.22736328125,11.550470994120204,[ 1.7619756 -3.1234844],[ 1.7617844 -3.1233835],[ 0.75  -2.582]
bfloat,25000000,100,31.450278,0.020634765625,0.19732421875,799.3134433180885,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,50000000,100,7.376858,0.02353515625,0.352744140625,11.5525277717571,[ 1.7622405 -3.1236749],[ 1.7616763 -3.1233685],[ 0.75  -2.582]
bfloat,50000000,100,41.712547,0.021552734375,0.306220703125,799.3433748939933,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,75000000,100,11.072557,0.02443359375,0.476416015625,11.54867417271403,[ 1.7618853 -3.1235633],[ 1.7612116 -3.123203 ],[ 0.75  -2.582]
bfloat,75000000,100,61.140877,0.0224609375,0.414765625,799.3980594938555,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,100000000,100,14.465239,0.025419921875,0.59900390625,11.560374698213776,[ 1.7628312 -3.1239712],[ 1.7615478 -3.1233077],[ 0.75  -2.582]
bfloat,100000000,100,81.191245,0.02337890625,0.51978515625,799.3477491979671,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,250000000,100,34.582344,0.03109375,1.37,11.680796410024271,[ 1.773433  -3.1299284],[ 1.7613181 -3.1232316],[ 0.75  -2.582]
bfloat,250000000,100,173.687161,0.02849609375,1.2,799.3790750522897,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,500000000,100,64.919866,0.041630859375,2.63,12.452493978405025,[ 1.8410583 -3.1663454],[ 1.7613623 -3.1232474],[ 0.75  -2.582]
bfloat,500000000,100,394.846587,0.037421875,2.3,799.3738675107955,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,750000000,100,99.916694,0.052197265625,3.9,13.590813474143237,[ 1.9407685 -3.2187257],[ 1.7614284 -3.123277 ],[ 0.75  -2.582]
bfloat,750000000,100,624.028432,0.047998046875,3.41,799.370198786586,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
float,1000000000,100,119.81373,0.062333984375,5.16,11.352243802741068,[ 1.7446889 -3.1142337],[ 1.7614489 -3.1232874],[ 0.75  -2.582]
bfloat,1000000000,100,780.72482,0.057109375,4.51,799.3700271075973,[10. 10.],[2.125 -3.34375],[ 0.75  -2.582]
