Name,Type,Size,QueryOptimization,LowerRelAlgDialect,LowerSubOpDialect,LowerDBDialect,LowerDSADialect,LowerToLLVMDialect,ToLLVMIR,LlvmOptimize,LlvmCodeGen,ExecutionTime,TotalTime,Heap,Stack,TotalMemory
Einstein,float,130,3.815,0.965,16.273,5.6,7.952,16.162,1.242,5.302,32.083,0.142,89.536,4817368,19328,4836696
Einstein,tfloat,130,4.485,1.183,18.782,6.436,8.752,29.075,1.996,8.539,44.956,0.172,124.376,4821208,19328,4840536
Einstein,float,10300,3.699,0.968,15.568,5.344,7.68,15.68,1.28,4.97,31.677,0.883,87.749,4822400,19328,4841728
Einstein,tfloat,10300,4.039,0.984,15.861,5.486,7.772,15.524,1.242,4.942,32.676,1.704,90.23,4825024,19328,4844352
Einstein,float,40600,4.921,1.313,18.783,6.217,8.713,17.334,1.371,5.807,33.355,1.838,99.652,4816072,19328,4835400
Einstein,tfloat,40600,4.501,1.161,18.608,6.492,8.761,17.28,1.374,5.648,33.699,4.773,102.297,4827272,19328,4846600
Einstein,float,161200,2.113,0.577,9.573,3.692,5.492,12.462,1.069,4.566,31.255,2.458,73.257,4827944,19328,4847272
Einstein,tfloat,161200,2.095,0.58,9.624,3.67,5.458,12.51,1.062,4.601,31.731,6.486,77.817,4824408,19328,4843736
Einstein,float,361800,1.969,0.529,8.37,3.139,4.403,9.346,0.77,3.263,20.795,2.733,55.317,4830376,18480,4848856
Einstein,tfloat,361800,1.484,0.417,6.338,2.346,3.48,8.899,0.762,3.26,21.024,6.917,54.927,4848240,19328,4867568
Einstein,float,642400,4.842,1.302,16.869,5.895,8.085,16.293,1.292,5.285,32.459,4.293,96.615,4847856,19328,4867184
Einstein,tfloat,642400,4.517,1.198,18.242,6.588,8.781,23.993,2.13,8.878,47.323,11.966,133.616,4852568,18480,4871048
Einstein,float,1003000,3.913,0.952,13.892,4.875,7.123,13.791,1.097,4.701,54.094,6.073,110.511,4854600,18480,4873080
Einstein,tfloat,1003000,1.562,0.423,18.806,6.265,8.74,17.305,1.277,5.553,33.185,16.717,109.833,4867768,24856,4892624
