Name,Type,QueryOptimization,LowerRelAlgDialect,LowerSubOpDialect,LowerDBDialect,LowerDSADialect,LowerToLLVMDialect,ToLLVMIR,LlvmOptimize,LlvmCodeGen,ExecutionTime,TotalTime,Heap,Stack,TotalMemory,DuckDBTime,DuckDBMemory,Size,correctResult,lingoDBResult
KMeans,float,333.088,107.755,67.343,34.826,40.651,122.061,10.929,44.744,233.897,14.943,1010.24,14468424,8608,14477032,11.554,7528696,10,"[[ 4.247   -9.9008 ]
 [ 2.88362  7.07736]
 [ 9.0611   3.5313 ]
 [-6.80605 -0.7798 ]]","[[ 4.247      -9.9008    ]
 [ 4.64861429  6.0642    ]
 [-6.80605    -0.7798    ]]"
KMeans,tfloat,307.603,160.896,106.35,55.025,64.658,148.589,9.609,44.767,404.586,13.803,1315.89,11962640,19056,11981696,11.554,7528696,10,"[[ 4.247   -9.9008 ]
 [ 2.88362  7.07736]
 [ 9.0611   3.5313 ]
 [-6.80605 -0.7798 ]]","[[ 4.25    -9.875  ]
 [ 4.6875   6.0625 ]
 [-6.8125  -0.78125]]"
KMeans,float,290.357,198.681,142.907,54.568,64.068,147.354,9.644,44.795,323.037,26.025,1301.44,18940360,8608,18948968,31.600999999999996,7223296,100,"[[ 7.32092222 -7.97851111]
 [-6.61139535  1.50331395]
 [ 4.28859677  5.9401871 ]
 [ 2.64627647 -3.84662941]]","[[ 7.32092222 -7.97851111]
 [-6.61139535  1.50331395]
 [ 4.28859677  5.9401871 ]
 [ 2.64627647 -3.84662941]]"
KMeans,tfloat,326.444,160.527,106.696,55.689,65.364,150.839,9.78,45.302,382.155,45.862,1348.66,15691328,8640,15699968,31.600999999999996,7223296,100,"[[ 7.32092222 -7.97851111]
 [-6.61139535  1.50331395]
 [ 4.28859677  5.9401871 ]
 [ 2.64627647 -3.84662941]]","[[ 7.875   -7.90625]
 [-6.59375  1.5    ]
 [ 4.25     5.90625]
 [ 2.64062 -4.125  ]]"
KMeans,float,193.607,112.908,77.031,40.058,46.849,107.723,7.329,32.002,233.089,171.057,1021.65,20456504,8608,20465112,30.784,10535552,1000,"[[ 46.200714    50.7874668 ]
 [-50.57083708  43.98813542]
 [-49.03267805 -54.24707764]
 [ 51.78879583 -48.57204886]]","[[ 46.200714    50.7874668 ]
 [-50.57083708  43.98813542]
 [-49.03267805 -54.24707764]
 [ 51.78879583 -48.57204886]]"
KMeans,tfloat,295.992,162.603,106.071,55.259,64.784,148.058,9.716,44.811,376.16,376.556,1640.01,17190480,8704,17199184,30.784,10535552,1000,"[[ 46.200714    50.7874668 ]
 [-50.57083708  43.98813542]
 [-49.03267805 -54.24707764]
 [ 51.78879583 -48.57204886]]","[[ 46.75  51.25]
 [-47.75  44.25]
 [-48.75 -52.75]
 [ 51.5  -49.75]]"
KMeans,float,258.193,113.75,81.083,53.956,49.802,163.97,13.164,39.555,257.589,821.575,1852.64,72960376,7760,72968136,29.222,10819344,10000,"[[ 52.70720925  49.14344384]
 [-53.3594147  -47.28814135]
 [ 46.03318729 -49.89749137]
 [-47.46829988  52.89320745]]","[[ 52.70720925  49.14344384]
 [-53.3594147  -47.28814135]
 [ 46.03318729 -49.89749137]
 [-47.46829988  52.89320745]]"
KMeans,tfloat,303.191,160.586,105.65,55.137,64.493,149.238,10.264,45.482,413.922,1881.67,3189.63,56277400,8640,56286040,29.222,10819344,10000,"[[ 52.70720925  49.14344384]
 [-53.3594147  -47.28814135]
 [ 46.03318729 -49.89749137]
 [-47.46829988  52.89320745]]","[[ 50.75  49.  ]
 [-51.   -47.25]
 [ 46.75 -48.25]
 [-48.    51.75]]"
KMeans,float,320.116,161.282,105.922,54.283,64.148,147.832,9.782,44.878,323.948,6838.98,8071.18,491185416,0,491185416,0,0,100000,"[[ 57.21017412 -42.85645288]
 [-41.19777653 -57.1090013 ]
 [ 40.74821214  55.67035095]
 [-57.37915588  40.44776225]]","[[ 57.21017412 -42.85645288]
 [-41.19777653 -57.1090013 ]
 [ 40.74821214  55.67035095]
 [-57.37915588  40.44776225]]"
KMeans,tfloat,287.867,160.828,107.322,55.899,65.383,151.826,9.93,45.558,382.946,15368.4,16635.9,388214952,0,388214952,0,0,100000,"[[ 57.21017412 -42.85645288]
 [-41.19777653 -57.1090013 ]
 [ 40.74821214  55.67035095]
 [-57.37915588  40.44776225]]","[[ 23.625 -23.625]
 [-23.5   -23.5  ]
 [ 23.375  23.375]
 [-23.875  23.875]]"
