Name,Type,Size,QueryOptimization,LowerRelAlgDialect,LowerSubOpDialect,LowerDBDialect,LowerDSADialect,LowerToLLVMDialect,ToLLVMIR,LlvmOptimize,LlvmCodeGen,ExecutionTime,TotalTime,Heap,Stack,TotalMemory
Regression,float,10,20.373,4.019,59.429,27.517,31.53,73.803,4.772,23.131,157.563,4.688,406.825,7961936,18272,7980208
Regression,tfloat,10,20.666,4.086,59.641,27.755,31.677,118.016,8.81,33.269,232.075,4.123,540.118,8096616,18128,8114744
Regression,float,100,27.717,4.808,60.929,28.157,31.911,75.194,4.837,23.377,159.55,4.263,420.743,7961936,18272,7980208
Regression,tfloat,100,28.14,4.692,60.86,30.681,65.988,94.901,4.822,23.184,198.196,4.631,516.095,8096312,18128,8114440
Regression,float,1000,33.938,5.655,93.976,28.065,31.543,74.341,4.774,23.153,157.735,5.869,459.049,7958560,18208,7976768
Regression,tfloat,1000,25.401,4.302,90.38,49.108,46.313,76.12,4.925,23.605,200.418,9.208,529.78,8096616,18128,8114744
Regression,float,10000,23.954,4.147,59.265,27.618,31.817,74.525,4.821,23.09,177.206,14.314,440.757,7958936,18208,7977144
Regression,tfloat,10000,27.975,4.828,60.904,27.931,56.718,77.405,3.524,15.779,125.938,32.44,433.442,8105696,18128,8123824
Regression,float,100000,36.089,5.77,65.067,27.774,31.66,103.608,5.465,23.028,107.334,77.534,483.329,7959384,18208,7977592
Regression,tfloat,100000,29.781,5.04,61.865,41.995,47.335,76.653,4.785,23.312,198.253,219.313,708.332,8113920,18808,8132728
